road_name,geometry
영화사로16길,"LINESTRING (14148204.160254482 4516671.027157874, 14148241.5071697 4516669.044010326)"
영화사로16길,"LINESTRING (14148204.160254482 4516671.027157874, 14148175.139263231 4516672.571751157)"
영화사로16길,"LINESTRING (14148168.23388152 4516618.427210785, 14148192.33812456 4516586.580377511, 14148203.19177491 4516584.76900575)"
영화사로16길,"LINESTRING (14148204.160254482 4516671.027157874, 14148166.990676504 4516620.069749108, 14148168.23388152 4516618.427210785)"
자양로44길,"LINESTRING (14148050.906711508 4516057.715266632, 14147991.937112596 4516089.84081237)"
자양로44길,"LINESTRING (14148118.25745042 4516021.0241579255, 14148140.418714054 4516008.951219362, 14148151.172176862 4516010.144693188)"
자양로44길,"LINESTRING (14148050.906711508 4516057.715266632, 14148118.25745042 4516021.0241579255)"
자양로44길,"LINESTRING (14147865.682776332 4516142.986247914, 14147943.146754598 4516111.203084738)"
자양로44길,"LINESTRING (14148243.122990547 4516291.643891633, 14148253.574976444 4516301.524870112)"
자양로44길,"LINESTRING (14148305.657400547 4516112.772333091, 14148331.50975195 4516081.795494711)"
천호대로137길,"LINESTRING (14147992.342418298 4515995.69227229, 14148002.326885724 4515993.281622696)"
자양로44길,"LINESTRING (14147943.146754598 4516111.203084738, 14147865.682776332 4516142.986247914)"
천호대로137길,"LINESTRING (14148002.326885724 4515993.281622696, 14147992.342418298 4515995.69227229)"
천호대로137길,"LINESTRING (14147992.193378761 4516030.312695126, 14148023.822679395 4516019.552079874)"
천호대로137길,"LINESTRING (14148023.822679395 4516019.552079874, 14147992.193378761 4516030.312695126)"
자양로50길,"LINESTRING (14147988.879491236 4516344.7018345585, 14147950.663510047 4516336.768492773)"
자양로50길,"LINESTRING (14147990.864791853 4516338.919695246, 14148023.06570686 4516245.135320735)"
자양로50길,"LINESTRING (14147988.879491236 4516344.7018345585, 14147990.864791853 4516338.919695246)"
자양로50길,"LINESTRING (14148059.028681822 4516364.827180044, 14148115.817106588 4516384.3265095875)"
자양로50길,"LINESTRING (14147990.838149909 4516345.107954073, 14147998.631078629 4516346.723784576, 14148053.823282165 4516363.0398122175, 14148059.028681822 4516364.827180044)"
자양로50길,"LINESTRING (14147988.879491236 4516344.7018345585, 14147990.838149909 4516345.107954073)"
자양로50길,"LINESTRING (14148023.06570686 4516245.135320735, 14147990.864791853 4516338.919695246)"
자양로50길,"LINESTRING (14147990.864791853 4516338.919695246, 14147988.879491236 4516344.7018345585)"
영화사로16나길,"LINESTRING (14148367.983680561 4516564.902102143, 14148377.273194615 4516576.737190558)"
